"origen","destino","comercio","educa","sanidad","admin","ocio","transport","otros","colind","dist"
"Cuevas de San Marcos","Alameda",0,0,0,0,0,0,19.4728386508489,3,11321.3684893686
"Mollina","Alameda",0,0,0,0,0,0,30.7937255459538,1,0
"Villanueva de Algaidas","Alameda",0,0,0,0,0,0,9.12265768313675,2,10892.9730471625
"Fuente de Piedra","Alameda",0,0,0,11.7091086963021,4.47874228216994,4.13478443216453,19.4199163683434,2,2395.88826260944
"Periana","Alcaucín",0,0,0,0,38.6595684028069,0,0,1,0
"Alfarnatejo","Alfarnate",0,0,0,0.249563125985522,2.14165861351766,3.21473029061659,2.0547914928797,1,0
"Sayalonga","Algarrobo",0,0,45.3484536981007,7.05085052050827,8.39997509167795,5.65556301346218,0,1,0
"Árchez","Algarrobo",0,0,0,0,0,0.5980971492861,0,2,3542.49228367193
"Canillas de Albaida","Algarrobo",0,0,5.60676683188886,0,0,0,0,2,4846.47507135106
"Benadalid","Algatocín",0,0,0.667052448028707,0,0,0,2.04796312687208,2,1053.08983394248
"Benalauría","Algatocín",0,0,6.82920656043486,0,4.70625412561706,0,0,1,0
"Jubrique","Algatocín",0,0,7.59029283373634,0,0,0,7.76782489972185,1,0
"Gaucín","Algatocín",0,0,19.4297391469859,0,42.6553169616473,0,14.9131411837865,2,1549.71208892891
"Alozaina","Alhaurín el Grande",0,52.2054324652798,0,370.227996376969,0,0,0,2,9618.62941267465
"Yunquera","Alhaurín el Grande",654.401589626333,241.912280552246,42.4703352558842,341.3126864854,376.307777531141,201.814109631161,134.166312312306,3,15766.3531371073
"Cártama","Alhaurín el Grande",0,7.74345733057065,0,0,0,0,0,1,0
"Monda","Alhaurín el Grande",0,41.5488758551992,0,0,0,0,0,2,5574.69225593251
"Tolox","Alhaurín el Grande",0,44.5966439578495,0,0,0,0,0,3,11694.5061576887
"Guaro","Alhaurín el Grande",0,5.89707688698836,0,0,0,0,0,2,6893.12241191363
"Coín","Alhaurín el Grande",0,6.04592137572244,0,0,0,0,0,1,0
"Alhaurín de la Torre","Alhaurín el Grande",0,139.339704953491,0,0,0,0,0,1,0
"Cútar","Almáchar",0,0,0,5.56634165167738,1.24698349472736,0,0.512981335811108,1,0
"El Borge","Almáchar",0,0,0,8.88438895544597,0,0,4.55587254077399,1,0
"Carratraca","Álora",0,0,0,347.911576754932,0,8.81410678119803,0,1,0
"Casarabonela","Álora",78.1363851876013,35.3541099907427,0,131.756512731557,0,0,12.3764677867526,1,0
"Alozaina","Álora",88.4738017745065,0,0,148.656501234289,0,0,0,2,9046.00861703402
"Pizarra","Álora",116.156925375699,239.345131790266,0,383.267417113285,0,0,127.572116136458,1,0
"Cártama","Álora",39.3675945317049,0,0,12.9936020829965,0,0,42.8289276699129,1,0
"Alhaurín el Grande","Álora",0,0,0,1467.35896954976,0,0,0,2,9515.00632762729
"Ardales","Álora",23.2492688953193,26.7851746352279,0,56.6083529637785,0,0,4.19468673746515,1,0
"Yunquera","Alozaina",0,42.6858731170358,0,0,0,13.6017108539775,0,1,0
"Casarabonela","Alozaina",0,37.6239857977241,0,0,0,9.68282825043109,0,1,0
"Tolox","Alozaina",0,40.3838482837394,0,0,0,5.71919036976921,0,1,0
"El Burgo","Alozaina",0,34.9497004430582,0,0,0,0,0,2,221.924666093089
"Alameda","Antequera",151.689406384734,413.29266376443,340.265733485869,290.498937893208,240.224815756337,0,0,1,0
"Archidona","Antequera",5.93564493542897,0,0,8.33144937879065,3.56849145956447,1.47483904720308,0,1,0
"Valle de Abdalajís","Antequera",339.3393786938,222.80046434849,236.348906624795,334.820991830742,103.537158271135,46.7620266744093,0,1,0
"Riogordo","Antequera",344.185455215221,107.530288610719,46.4747781431909,298.071657204785,249.730967447381,103.212516061942,48.008587234341,2,2838.47473606292
"Carratraca","Antequera",71.7243102844553,35.3486912953072,113.408968267518,14.6832507018996,44.4394303286194,12.7056352901026,6.18585523808434,2,6163.58908025755
"Almogía","Antequera",426.971382684653,329.923919732818,312.286944787899,71.3346128778718,149.324095758417,87.7878677274197,73.1768932949931,1,0
"Alfarnate","Antequera",0,0,0,0,0,16.9216122889298,0,2,3564.74280589754
"Cañete la Real","Antequera",0,135.58430104491,0,0,17.4646404672362,49.380790415246,116.193596248195,2,12951.3730005108
"Villanueva de Algaidas","Antequera",242.863437787474,170.888965760639,143.05880455008,95.8166543285647,163.12334948153,28.6995377477839,60.5481452868627,1,0
"Villanueva del Rosario","Antequera",357.144407181724,202.046476531624,250.289145885884,373.212975465992,83.8256854100727,147.456972450614,112.845591722745,1,0
"Humilladero","Antequera",0,0,0,17.4658532874169,0,0,0,1,0
"Alfarnatejo","Antequera",145.799828980506,154.725329509025,221.865834202777,253.41810494126,257.49815267148,87.8251772598804,15.2155400932585,2,3567.60196252714
"Cuevas de San Marcos","Antequera",0,107.579126190756,723.023001938755,0,68.3154130774315,0,0,2,2469.68557793187
"Villanueva de Tapia","Antequera",374.449607433512,266.184082269111,292.20075727318,182.329946996501,174.536187731155,46.6824458226053,115.064966014046,2,7627.84471648838
"Casabermeja","Antequera",255.825072347927,24.594798204777,261.607848157812,0,71.6901706771022,112.400467786195,0,1,0
"Fuente de Piedra","Antequera",0,0,0,0,54.6325262836911,34.5724788293179,0,1,0
"Sierra de Yeguas","Antequera",0,0,0,0,0,22.1325723646598,0,1,0
"Almargen","Antequera",0,0,0,0,13.1697785389751,4.5086011020819,0,2,14629.4378319348
"Teba","Antequera",189.111685299886,61.4179013050747,118.640198386919,122.45958600156,124.956040688608,69.9991323767146,30.1076580782545,2,4543.61922439621
"Mollina","Antequera",0,0,0,0,0,24.1295467420686,0,1,0
"Colmenar","Antequera",214.353695376571,101.790724134958,362.955926738033,0,116.087844609098,41.4756569558376,0,1,0
"Cuevas Bajas","Antequera",169.747296467771,59.0045497421462,476.90001246609,248.63336215643,0,0,0,1,0
"Campillos","Antequera",14.7214273250815,78.2770089199059,0,5.69625243169827,78.3885382894022,6.70897101793049,0,1,0
"Villanueva de Algaidas","Archidona",0,7.38770259512323,29.9338402799782,45.6618725392964,0,0,0,1,0
"Villanueva del Rosario","Archidona",0,32.6835454515135,5.40200817735741,260.715271662748,0,0,73.5197149779888,1,0
"Cuevas de San Marcos","Archidona",0,36.0473378268488,7.2035982702013,73.5619799922254,0,0,30.4895822300754,2,7103.11433493275
"Villanueva de Tapia","Archidona",0,73.7843946143311,0,146.341414132057,0,0,83.6819189274691,1,0
